TITLE,ARTIST,RELEASE YEAR,DURATION,GENRE,URL,,,
Ved Tujha,Ajay-Atul,2022,3:24,Indian Film Pop,,,,
Besuri,Ajay-Atul,2022,5:45,Indian Film Pop,,,,
Ved Lavlay,Ajay-Atul,2022,3:51,Indian Film Pop,,,,
Sukh Kalale,Ajay-Atul,2022,5:39,Indian Film Pop,,,,
My one&only,Ajay-Atul,2022,3:34,Indian Film Pop,,,,
Chandra,Ajay-Atul,2022,5:15,Indian Film Pop,,,,
To chand Rati,Ajay-Atul,2022,3:28,Indian Film Pop,,,,
Bai Ga,Ajay-Atul,2022,6:10,Indian Film Pop,,,,
Jeev Rangla,Ajay-Atul,2016,4:41,Indian Film Pop,,,,
Kanha,Ajay-Atul,2022,4:03,Indian Film Pop,,,,
Ashi Kashi Vedi Maya,Ajit Parab,2017,4:14,Indian Film Pop,,,,
He Samjhun Ghe Na Ya Babala,Ajit Parab,2010,5:23,Indian Film Pop,,,,
Punha Din Raat,Ajit Parab,2010,6:42,Indian Film Pop,,,,
Masuli Wani Tujhi Ga Jwani,Ajit Parab,2009,5:23,Indian Film Pop,,,,
Balle Balle,Ajit Parab,2014,1:21,Indian Film Pop,,,,
Halla Halla,Ajit Parab,2010,5:01,Indian Film Pop,,,,
Baaje Dhol,Ajit Parab,2014,5:25,Indian Film Pop,,,,
Huppa Huiyya Jai Bajranga jai Hanuman,Swapnil Badodkar,2010,8:26,Indian Film Pop,,,,
Vakda Tikda Vakda Tikda,Swapnil Badodkar,2010,5:12,Indian Film Pop,,,,
Radha hi Bawari,Swapnil Badodkar,2012,5:12,Indian Film Pop,,,,
Saavar Re Mana,Swapnil Badodkar,2014,5:39,Indian Film Pop,,,,
Olya Sanji Veli,Swapnil Badodkar,2013,5:19,Indian Film Pop,,,,
Ka Kalena,Swapnil Badodkar,2010,4:03,Indian Film Pop,,,,
Galavar Khali,Swapnil Badodkar,2003,5:45,Indian Film Pop,,,,
Radha Radha,Swapnil Badodkar,2017,4:34,Indian Film Pop,,,,
Tu Jithe Mi Tithe,Swapnil Badodkar,2016,5:48,Indian Film Pop,,,,
Ala Holicha Sar Lai Bhari,Swapnil Badodkar,2014,5:21,Indian Film Pop,,,,
Maji Baay Go,Prashant Nakti,2021,4:28,Indian Film Pop,,,,
Apli Yaari,Prashant Nakti,2022,4:54,Indian Film Pop,,,,
Maji Jaanu,Prashant Nakti,2020,5:04,Indian Film Pop,,,,
Mi nadkhula,Prashant Nakti,2021,4:19,Indian Film Pop,,,,
Girlfriend Nastana,Prashant Nakti,2021,4:20,Indian Film Pop,,,,
Poori Tuje Nadan,Prashant Nakti,2019,4:19,Indian Film Pop,,,,
Mi Single,Prashant Nakti,2022,4:11,Indian Film Pop,,,,
Majya Var Marshil ka,Prashant Nakti,2020,5:00,Indian Film Pop,,,,
Mauli Mauli,Ajay Gogavle,2014,5:05,Indian Film Pop,,,,
Dhuvun Tak,Ajay Gogavle,2018,3:34,Indian Film Pop,,,,
Malvat,Ajay Gogavle,2022,4:11,Indian Film Pop,,,,
Maajya Pandahri Chi Maya,Ajay Gogavle,2018,7:16,Indian Film Pop,,,,
Magu Kun Haat Ra,Ajay Gogavle,2014,4:43,Indian Film Pop,,,,
Deva Anthem,Ajay Gogavle,2017,3:37,Indian Film Pop,,,,
parbhramrupmini Bhavani ude,Ajay Gogavle,2022,7:33,Indian Film Pop,,,,
Ha Rang Marathi Mathicha,Ajay Gogavle,2022,12:36,Indian Film Pop,,,,
Pavsali Ya Dhagani Aabhal Bharla,Ajay Gogavle,2009,5:28,Indian Film Pop,,,,
