TITLE,ARTIST,RELEASE YEAR,DURATION,GENRE,URL
SYL,Sidhu Moose Wala,2022,4:09,Indian Hip-Hop,
Jatt Da Muqbala,Sidhu Moose Wala,2018,3:24,Indian Hip-Hop,
My Block,Sidhu Moose Wala,2020,3:41,Indian Hip-Hop,
East Side Flow,Sidhu Moose Wala,2019,3:44,Indian Hip-Hop,
Bitch I'M Back,Sidhu Moose Wala,2021,3:50,Indian Hip-Hop,
Sin,Sidhu Moose Wala,2021,3:07,Indian Hip-Hop,
Signed To God,Sidhu Moose Wala,2021,2:27,Indian Hip-Hop,
B&W,Sidhu Moose Wala,2021,4:05,Indian Hip-Hop,
0to100,Sidhu Moose Wala,2022,1:48,Indian Hip-Hop,
Death Route,Sidhu Moose Wala,2018,3:37,Indian Hip-Hop,
We Rollin,Shubh,2021,3:19,Indian Hip-Hop,
Her,Shubh,2022,2:34,Indian Hip-Hop,
No Love,Shubh,2022,2:50,Indian Hip-Hop,
Off Shore,Shubh,2021,2:52,Indian Hip-Hop,
Elvated,Shubh,2021,3:20,Indian Hip-Hop,
Baller,Shubh,2022,2:28,Indian Hip-Hop,
Summer High,AP Dhillion,2022,2:57,R&b/Soul,
Saada Pyaar,"AP Dhillion, Gurinder Gill",2020,3:33,R&b/Soul,
Excuses,"AP Dhillion, Gurinder Gill",2020,2:56,R&b/Soul,
MajHail,AP Dhillion,2020,2:55,R&b/Soul,
Wo Noor,AP Dhillion,2022,3:19,R&b/Soul,
DropTop,AP Dhillion,2022,2:21,R&b/Soul,
Hills,"AP Dhillion, Gurinder Gill",2022,2:39,R&b/Soul,
Free Smoke,"AP Dhillion, Gurinder Gill",2020,2:42,R&b/Soul,
Fake,AP Dhillion,2019,3:24,R&b/Soul,
Insane,"AP Dhillion, Gurinder Gill",2021,3:26,R&b/Soul,
Brown Munde,"AP Dhillion, Gurinder Gill",2019,4:14,R&b/Soul,
Lover,Diljit Dosanjh,2021,3:10,Indian Pop,
Patiala Peg,Diljit Dosanjh,2023,3:01,Indian Pop,
Balle Jatta,Diljit Dosanjh,2022,3:32,Indian Pop,
Nazarey,Diljit Dosanjh,2022,2:25,Indian Pop,
Peaches,Diljit Dosanjh,2022,3:09,Indian Pop,
Lemonade,Diljit Dosanjh,2022,2:46,Indian Pop,
Cavir,Diljit Dosanjh,2022,2:23,Indian Pop,
Red Chilli,Diljit Dosanjh,2022,2:32,Indian Pop,
Vanilla,Diljit Dosanjh,2022,2:51,Indian Pop,
Born To Shine,Diljit Dosanjh,2022,3:33,Indian Pop,
On Top,Karan Aujila,2022,3:03,Indian Pop,
Sikandar,Karan Aujila,2022,3:06,Indian Pop,
Laut Aana,Karan Aujila,2022,3:37,Indian Pop,
Sheesha,Karan Aujila,2022,2:40,Indian Pop,
Oouuu,Karan Aujila,2022,2:27,Indian Pop,
They Know,Karan Aujila,2022,2:24,Indian Pop,
Game Over,Karan Aujila,2022,2:34,Indian Pop,
Unreachable,Karan Aujila,2022,3:57,Indian Pop,
Gangsta,Karan Aujila,2022,3:10,Indian Pop,
Players,"Karan Aujila, Badshah",2022,2:51,Indian Pop,
